algorithm,num_temps,n_runs,success_rate,mean_time,std_time
GA,5,10,0.0,4.55853,2.505514902390325
GA,10,10,0.0,6.00052,0.03971361982997782
GA,20,10,0.0,10.64328,0.06917077128383055
GA,30,10,0.0,15.351069999999998,0.09900894959547865
GA,50,10,1.0,24.81595,0.5022186281889595
GA,80,10,1.0,38.6706,0.16198862305730086
GA,120,10,1.0,57.542730000000006,0.42578049051124833
GA,180,10,1.0,85.82812999999999,1.2255249365475993
PA,5,10,0.0,0.05749,0.06700334991625419
PA,10,10,0.0,0.07904,4.8989794855664965e-05
PA,20,10,0.0,0.16685,4.999999999999449e-05
PA,30,10,0.4,0.25468,8.717797887081915e-05
PA,50,10,0.7,0.4303,0.00013416407864998915
PA,80,10,1.0,0.6937,0.0002569046515732916
PA,120,10,1.0,1.04497,0.0004243819034784624
PA,180,10,1.0,1.57189,0.000557584074378051
SA,5,10,0.0,0.04847,4.582575694955971e-05
SA,10,10,0.0,0.10902,4.000000000000115e-05
SA,20,10,0.0,0.23016999999999999,4.5825756949553354e-05
SA,30,10,0.0,0.35126,4.898979485565817e-05
SA,50,10,0.0,0.5935,4.472135954999087e-05
SA,80,10,0.0,0.9569300000000001,4.582575694955335e-05
SA,120,10,0.0,1.44144,6.633249580710069e-05
SA,180,10,0.0,2.1675,9.999999999998899e-05
