algorithm,num_temps,schedule,run,min_energy,mean_energy,runtime_s
SA,10,logT,0,-1.6283702850,-1.5692960024,0.0452
SA,10,logT,1,-1.6283702850,-1.5694839954,0.0452
SA,10,logT,2,-1.6283702850,-1.5699378252,0.0452
SA,10,logT,3,-1.6283702850,-1.5705063343,0.0451
SA,10,logT,4,-1.6283702850,-1.5701646805,0.0451
SA,10,logT,5,-1.6283702850,-1.5697784424,0.0451
SA,10,logT,6,-1.6283702850,-1.5697211027,0.0450
SA,10,logT,7,-1.6283702850,-1.5702974796,0.0453
SA,10,logT,8,-1.6283702850,-1.5698002577,0.0452
SA,10,logT,9,-1.6283702850,-1.5697058439,0.0451
SA,20,logT,0,-1.6283702850,-1.5833188295,0.0953
SA,20,logT,1,-1.6283702850,-1.5826820135,0.0955
SA,20,logT,2,-1.6283702850,-1.5829873085,0.0953
SA,20,logT,3,-1.6283702850,-1.5823900700,0.0952
SA,20,logT,4,-1.6283702850,-1.5832672119,0.0953
SA,20,logT,5,-1.6283702850,-1.5827161074,0.0952
SA,20,logT,6,-1.6283702850,-1.5827988386,0.0952
SA,20,logT,7,-1.6283702850,-1.5831379890,0.0953
SA,20,logT,8,-1.6283702850,-1.5830233097,0.0952
SA,20,logT,9,-1.6283702850,-1.5829148293,0.0953
SA,30,logT,0,-1.6283702850,-1.5889680386,0.1454
SA,30,logT,1,-1.6283702850,-1.5893135071,0.1452
SA,30,logT,2,-1.6283702850,-1.5888884068,0.1453
SA,30,logT,3,-1.6283702850,-1.5891780853,0.1454
SA,30,logT,4,-1.6283702850,-1.5893418789,0.1448
SA,30,logT,5,-1.6283702850,-1.5889998674,0.1452
SA,30,logT,6,-1.6283702850,-1.5887808800,0.1452
SA,30,logT,7,-1.6283702850,-1.5892072916,0.1454
SA,30,logT,8,-1.6283702850,-1.5895227194,0.1453
SA,30,logT,9,-1.6283702850,-1.5885833502,0.1450
SA,50,logT,0,-1.6283702850,-1.5956423283,0.2456
SA,50,logT,1,-1.6283702850,-1.5955291986,0.2453
SA,50,logT,2,-1.6283702850,-1.5954643488,0.2451
SA,50,logT,3,-1.6283702850,-1.5960202217,0.2449
SA,50,logT,4,-1.6283702850,-1.5953270197,0.2454
SA,50,logT,5,-1.6283702850,-1.5956618786,0.2447
SA,50,logT,6,-1.6283702850,-1.5954233408,0.2450
SA,50,logT,7,-1.6283702850,-1.5957746506,0.2447
SA,50,logT,8,-1.6283702850,-1.5955845118,0.2453
SA,50,logT,9,-1.6283702850,-1.5957698822,0.2449
PA,10,logT,0,-1.6283702850,-1.6281056404,0.2483
PA,10,logT,1,-1.6283702850,-1.6281096935,0.0323
PA,10,logT,2,-1.6283702850,-1.6281076670,0.0322
PA,10,logT,3,-1.6283702850,-1.6280994415,0.0321
PA,10,logT,4,-1.6283702850,-1.6281099319,0.0324
PA,10,logT,5,-1.6283702850,-1.6281057596,0.0321
PA,10,logT,6,-1.6283702850,-1.6281090975,0.0322
PA,10,logT,7,-1.6283702850,-1.6281036139,0.0322
PA,10,logT,8,-1.6283702850,-1.6281142235,0.0321
PA,10,logT,9,-1.6283702850,-1.6281020641,0.0321
PA,20,logT,0,-1.6283702850,-1.6281167269,0.0679
PA,20,logT,1,-1.6283702850,-1.6281105280,0.0677
PA,20,logT,2,-1.6283702850,-1.6281043291,0.0678
PA,20,logT,3,-1.6283702850,-1.6281108856,0.0678
PA,20,logT,4,-1.6283702850,-1.6281065941,0.0676
PA,20,logT,5,-1.6283702850,-1.6281294823,0.0677
PA,20,logT,6,-1.6283702850,-1.6281111240,0.0676
PA,20,logT,7,-1.6283702850,-1.6281037331,0.0678
PA,20,logT,8,-1.6283702850,-1.6281065941,0.0682
PA,20,logT,9,-1.6283702850,-1.6281102896,0.0677
PA,30,logT,0,-1.6283702850,-1.6281068325,0.1040
PA,30,logT,1,-1.6283702850,-1.6281003952,0.1039
PA,30,logT,2,-1.6283702850,-1.6281110048,0.1038
PA,30,logT,3,-1.6283702850,-1.6280957460,0.1039
PA,30,logT,4,-1.6283702850,-1.6281101704,0.1040
PA,30,logT,5,-1.6283702850,-1.6281105280,0.1040
PA,30,logT,6,-1.6283702850,-1.6281014681,0.1041
PA,30,logT,7,-1.6283702850,-1.6281051636,0.1036
PA,30,logT,8,-1.6283702850,-1.6280930042,0.1038
PA,30,logT,9,-1.6283702850,-1.6280981302,0.1038
PA,50,logT,0,-1.6283702850,-1.6280924082,0.1755
PA,50,logT,1,-1.6283702850,-1.6281105280,0.1749
PA,50,logT,2,-1.6283702850,-1.6280980110,0.1751
PA,50,logT,3,-1.6283702850,-1.6280944347,0.1751
PA,50,logT,4,-1.6283702850,-1.6281177998,0.1751
PA,50,logT,5,-1.6283702850,-1.6280997992,0.1749
PA,50,logT,6,-1.6283702850,-1.6281175613,0.1751
PA,50,logT,7,-1.6283702850,-1.6281243563,0.1754
