algorithm,num_temps,schedule,run,min_energy,mean_energy,runtime_s
QQA,30,pqqa+polish,0,-1.6930028200,-1.6849462986,46.649934
QQA,30,pqqa+polish,1,-1.6930028200,-1.6849224567,36.130798
QQA,30,pqqa+polish,2,-1.6930028200,-1.6849004030,36.177663
QQA,30,pqqa+polish,3,-1.6930028200,-1.6849021912,36.208910
QQA,30,pqqa+polish,4,-1.6930028200,-1.6848925352,36.115251
QQA,30,pqqa+polish,5,-1.6930028200,-1.6848897934,36.174103
QQA,30,pqqa+polish,6,-1.6930028200,-1.6849269867,36.131284
QQA,30,pqqa+polish,7,-1.6930028200,-1.6849120855,36.199254
QQA,30,pqqa+polish,8,-1.6930028200,-1.6848998070,36.091868
QQA,30,pqqa+polish,9,-1.6930028200,-1.6849129200,36.143524
QQA,30,pqqa+polish,10,-1.6930028200,-1.6849606037,36.127097
QQA,30,pqqa+polish,11,-1.6930028200,-1.6849534512,36.180729
QQA,30,pqqa+polish,12,-1.6930028200,-1.6849560738,36.172697
QQA,30,pqqa+polish,13,-1.6930028200,-1.6849619150,36.258529
QQA,30,pqqa+polish,14,-1.6930028200,-1.6848825216,36.175529
QQA,30,pqqa+polish,15,-1.6930028200,-1.6848738194,36.200366
QQA,30,pqqa+polish,16,-1.6930028200,-1.6849050522,36.589059
QQA,30,pqqa+polish,17,-1.6930028200,-1.6848467588,37.238378
QQA,30,pqqa+polish,18,-1.6930028200,-1.6849131584,36.866383
QQA,30,pqqa+polish,19,-1.6930028200,-1.6849650145,36.195944
QQA,30,pqqa+polish,20,-1.6930028200,-1.6848338842,36.145279
QQA,30,pqqa+polish,21,-1.6930028200,-1.6849732399,36.250606
QQA,30,pqqa+polish,22,-1.6930028200,-1.6849433184,36.107748
QQA,30,pqqa+polish,23,-1.6930028200,-1.6849927902,36.113912
QQA,30,pqqa+polish,24,-1.6930028200,-1.6849839687,36.171677
QQA,30,pqqa+polish,25,-1.6930028200,-1.6849310398,36.103683
QQA,30,pqqa+polish,26,-1.6930028200,-1.6848614216,36.188011
QQA,30,pqqa+polish,27,-1.6930028200,-1.6848449707,36.159304
QQA,30,pqqa+polish,28,-1.6930028200,-1.6848537922,36.266130
QQA,30,pqqa+polish,29,-1.6930028200,-1.6849050522,36.185449
QQA,30,pqqa+polish,30,-1.6930028200,-1.6848999262,36.181062
QQA,30,pqqa+polish,31,-1.6930028200,-1.6849677563,36.267539
QQA,30,pqqa+polish,32,-1.6930028200,-1.6849756241,36.189185
QQA,30,pqqa+polish,33,-1.6930028200,-1.6849411726,36.435104
QQA,30,pqqa+polish,34,-1.6930028200,-1.6849375963,37.390475
QQA,30,pqqa+polish,35,-1.6930028200,-1.6849536896,36.887671
QQA,30,pqqa+polish,36,-1.6930028200,-1.6849306822,36.239629
QQA,30,pqqa+polish,37,-1.6930028200,-1.6848645210,36.146599
QQA,30,pqqa+polish,38,-1.6930028200,-1.6849496365,36.178016
QQA,30,pqqa+polish,39,-1.6930028200,-1.6850370169,36.303047
QQA,30,pqqa+polish,40,-1.6930028200,-1.6849479675,36.199620
QQA,30,pqqa+polish,41,-1.6930028200,-1.6849434376,36.209265
QQA,30,pqqa+polish,42,-1.6930028200,-1.6849334240,36.203912
QQA,30,pqqa+polish,43,-1.6930028200,-1.6849452257,36.159561
QQA,30,pqqa+polish,44,-1.6930028200,-1.6849356890,36.246892
QQA,30,pqqa+polish,45,-1.6930028200,-1.6848965883,36.173411
QQA,30,pqqa+polish,46,-1.6930028200,-1.6848835945,36.235358
QQA,30,pqqa+polish,47,-1.6930028200,-1.6848853827,36.214987
QQA,30,pqqa+polish,48,-1.6930028200,-1.6850318909,36.155256
QQA,30,pqqa+polish,49,-1.6930028200,-1.6849122047,36.161858
